unit,portion_desc_match_count
cup,4080
slice,1272
piece,774
inch,570
bag,411
tablespoon,311
container,302
can,269
stick,250
package,247
thin,218
bottle,218
packet,108
rack,92
ring,69
ear,55
jar,54
ball,54
tub,54
box,45
link,42
scoop,37
square,33
chunk,30
spear,28
wedge,26
teaspoon,26
loaf,20
strip,17
leaf,16
cube,15
foot,14
twist,13
shot,12
drop,10
head,8
pod,5
sprig,4
rib,3
bulb,2
clove,2
envelope,2
stalk,2
stem,1
pkg,0
bunch,0
wheel,0
slab,0
fluid_ounce,0
quarts-size,0
metric_ton,0
pinch,0
handful,0
canister,0
dash,0
part,0
sheet,0
batch,0
recipe,0
splash,0
block,0
grind,0
yard,0
