unit,match_count_in_portion_description
cup,4080
tablespoon,311
teaspoon,26
slice,1272
fluid_ounce,0
pinch,0
bunch,0
dash,0
head,8
drop,10
piece,774
sprig,4
packet,108
leaf,16
package,247
link,42
sheet,0
loaf,20
scoop,37
stalk,2
recipe,0
cube,15
splash,0
strip,17
stick,250
ear,55
envelope,2
pod,5
clove,2
rack,92
inch,570
bulb,2
spear,28
ball,54
wedge,26
part,0
square,33
twist,13
pkg,0
rib,3
bag,411
box,45
thin,218
can,269
grind,0
block,0
foot,14
shot,12
tub,54
batch,0
bottle,218
canister,0
chunk,30
container,302
handful,0
jar,54
metric_ton,0
quarts-size,0
ring,69
slab,0
stem,1
wheel,0
yard,0
